ID,Class,Duration
1,boat,29.6
2,beluga,0.633333
3,beluga,1.23333
5,beluga,4.2
6,beluga,0.366667
8,beluga,2.23333
9,beluga,0.5
14,beluga,0.833333
16,beluga,0.433333
18,beluga,0.533333
19,beluga,1.43333
20,beluga,1.13333
21,beluga,1.3
24,beluga,0.5
28,beluga,2.1
29,beluga,1.2
30,beluga,1.06667
32,beluga,0.933333
33,beluga,2.43333
35,beluga,0.1
39,beluga,2.83333
40,beluga,1.6
44,beluga,2.93333
46,beluga,0.433333
47,beluga,1.33333
51,beluga,1.2
52,beluga,1.4
53,beluga,2.26667
54,beluga,0.533333
57,beluga,0.6
59,beluga,3.76667
60,beluga,0.566667
62,beluga,0.866667
65,beluga,1.36667
73,beluga,2.26667
75,beluga,0.466667
76,beluga,1.63333
81,beluga,3.53333
83,beluga,1.1
84,beluga,0.2
85,beluga,0.333333
86,beluga,1.76667
87,beluga,1.5
88,beluga,2.03333
91,beluga,0.5
96,beluga,1.86667
97,beluga,0.533333
99,beluga,1.9
100,beluga,0.3
102,beluga,2.3
103,beluga,0.733333
104,beluga,0.133333
107,beluga,0.666667
108,beluga,1.63333
110,beluga,2.46667
112,beluga,1.66667
113,beluga,1.86667
114,beluga,1.1
115,beluga,0.466667
116,beluga,1.86667
117,beluga,2.73333
120,beluga,0.733333
125,beluga,0.666667
126,beluga,1
127,beluga,0.9
129,beluga,0.766667
131,beluga,1.4
132,beluga,1.03333
133,beluga,1.8
134,beluga,0.566667
135,beluga,1.46667
136,beluga,2.2
137,beluga,1.46667
139,beluga,1.86667
140,beluga,4.43333
141,beluga,0.733333
142,beluga,1.73333
144,beluga,0.0666667
145,beluga,0.2
149,beluga,1.33333
151,beluga,2.9
152,beluga,3.36667
153,beluga,0.833333
154,beluga,5.03333
157,beluga,1.06667
158,beluga,2.93333
160,beluga,0.133333
164,beluga,2.76667
165,beluga,2.23333
166,beluga,0.433333
167,beluga,1.63333
170,beluga,1.76667
171,beluga,0.4
172,beluga,2.06667
173,beluga,0.233333
174,beluga,0.233333
175,beluga,2.83333
176,boat,2.26667
177,beluga,0.9
178,beluga,0.866667
180,beluga,1.53333
184,beluga,1.06667
185,beluga,0.4
187,beluga,0.166667
191,beluga,0.733333
195,beluga,0.2
196,beluga,0.2
197,beluga,0.0666667
